subject,gender,age,rtngClimArousal,rtngNeuArousal,rtngClimClimRel,rtngNeuClimRel,ClimConcernPercent,Lag1diff,ClimLag1,ClimLag2,ClimLag4,ClimLag7,NeutrLag1,NeutrLag2,NeutrLag4,NeutrLag7
s801,f,18,65.37,40.34,92.94,19.94,71.56,14.29,78.57,78.57,100,100,64.29,85.71,100,78.57
s802,m,19,69.02,42.95,90.42,21.73,99.4,21.43,85.71,100,78.57,92.86,64.29,78.57,78.57,71.43
s803,m,24,65.12,24.36,82.78,20.09,66.47,35.71,85.71,71.43,85.71,100,50,50,71.43,78.57
s804,f,20,59.11,17.24,62.72,18.48,74.85,14.29,71.43,92.86,92.86,100,57.14,85.71,100,92.86
s805,m,24,32.69,19.89,90.61,17.84,75.15,21.43,35.71,64.29,92.86,78.57,14.29,71.43,92.86,100
s806,f,19,54.05,19.71,76.54,8.74,35.33,-21.43,57.14,57.14,64.29,71.43,78.57,92.86,85.71,71.43
s807,f,19,29.8,32.21,86.8,44.07,67.96,35.71,85.71,85.71,100,85.71,50,71.43,92.86,92.86
s808,f,19,62.31,33.29,80.12,27.03,50.6,0,57.14,85.71,92.86,100,57.14,57.14,100,92.86
s809,f,20,68.31,31.5,91.1,24.59,73.35,-7.14,85.71,78.57,85.71,100,92.86,78.57,92.86,85.71
s810,f,21,40.53,17.6,91.45,28.9,84.43,28.57,78.57,78.57,78.57,78.57,50,64.29,92.86,78.57
s811,m,22,62.7,27.12,89.14,21.39,70.36,0,50,85.71,92.86,64.29,50,78.57,78.57,71.43
s812,m,21,37.03,27.05,68.02,25.58,48.2,7.14,85.71,92.86,71.43,71.43,78.57,85.71,78.57,92.86
s813,f,22,66,44.07,92.72,31.49,62.28,21.43,78.57,92.86,85.71,78.57,57.14,50,92.86,78.57
s814,f,21,65.78,42.95,63.2,30.03,70.66,0,71.43,71.43,92.86,100,71.43,85.71,100,78.57
s815,m,19,69.05,16.51,94.33,15.68,88.92,35.71,92.86,85.71,92.86,92.86,57.14,71.43,100,78.57
s816,f,22,49.59,49.86,61.48,36.8,13.77,-7.14,14.29,28.57,7.14,35.71,21.43,42.86,57.14,28.57
s817,f,21,41.4,31.02,90.6,30.99,25.45,14.29,21.43,50,78.57,42.86,7.14,50,28.57,50
